"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"41";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_BER_R";8,05
"42";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_INR_R";7,81
"43";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_GEZ_R";8,05
"44";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PRIJS_R";6,65
"45";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_BIO_R";6,06
"46";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_FOOD_R";7
"47";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_NONFOOD_R";7,95
"48";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_DUURZ_R";7,2
"49";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_SCHOON_R";7,1
"50";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_UIT_R";8,14
"51";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_HOR_R";5,94
"52";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_VERV_R";6,24
"53";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_MENS_R";6,13
"54";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PARK_AUTO_R";4,1
"55";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PARK_FIETS_R";5,3
"56";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_VEIL_DAG_R";8,29
"57";"W006";"Utrechtsestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_VEIL_AVOND_R";7,84
"58";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_TOT_R";7,15
"59";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_HOR_R";6,57
"60";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_BER_R";7,97
"61";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_INR_R";6,16
"62";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_GEZ_R";5,81
"63";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PRIJS_R";5,7
"64";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_BIO_R";6,51
"65";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_FOOD_R";6,02
"66";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_NONFOOD_R";5,66
"67";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_DUURZ_R";4,4
"68";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_SCHOON_R";6,5
"69";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_UIT_R";6,47
"70";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_HOR_R";5,67
"71";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_VERV_R";5,47
"72";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_OVERL_MENS_R";5,66
"73";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PARK_AUTO_R";4,84
"74";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_PARK_FIETS_R";6,32
"75";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_VEIL_DAG_R";7,52
"76";"W008";"Waterlooplein/Jodenbreestraat";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_VEIL_AVOND_R";6,98
"77";"W010";"Vijzelstraat/Vijzelgracht";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_TOT_R";6,68
"78";"W010";"Vijzelstraat/Vijzelgracht";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_HOR_R";7,54
"79";"W010";"Vijzelstraat/Vijzelgracht";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_BER_R";7,95
"80";"W010";"Vijzelstraat/Vijzelgracht";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_INR_R";6,39
"81";"W010";"Vijzelstraat/Vijzelgracht";"winkelgebieden";"20240101";"20240101";"peildatum";"EWIN_GEZ_R";6,3
