"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"46";"GF06";"Sloterdijk Nieuw-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";80
"47";"GF06";"Sloterdijk Nieuw-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0
"48";"GF06";"Sloterdijk Nieuw-West";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";20
"49";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";18,51
"50";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";30,58
"51";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";14,69
"52";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";36,25
"53";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";65,36
"54";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";25,85
"55";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";4,51
"56";"GF07";"Geuzenveld, Slotermeer";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,27
"57";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";27,08
"58";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";25,09
"59";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";14,35
"60";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";33,47
"61";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";67,83
"62";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";23,68
"63";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";5,7
"64";"GF08";"Osdorp";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";2,79
"65";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";8,98
"66";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";39,04
"67";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";16,75
"68";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";35,24
"69";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";67,6
"70";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";25,46
"71";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";4,3
"72";"GF09";"De Aker, Sloten, Nieuw-Sloten";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";2,66
"73";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";5,22
"74";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";42,58
"75";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";8,4
"76";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";43,8
"77";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";62,49
"78";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";29,79
"79";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";1,62
"80";"GF10";"Slotervaart";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";6,08
"81";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";19,73
"82";"GK11";"Oud-Zuid";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";37,08
